iter	RMSE
528	3.797510041
529	3.79359831
530	3.79186749
531	3.790309433
532	3.789221221
533	3.786225035
534	3.783130901
535	3.781451005
536	3.777819185
537	3.774165057
538	3.773695334
539	3.771901202
540	3.766578364
541	3.763224447
542	3.760276632
543	3.75903192
544	3.756824663
545	3.75256937
546	3.750445479
547	3.746364752
548	3.746239085
549	3.745077952
550	3.742924096
551	3.742381459
552	3.738702769
553	3.737207651
554	3.735409665
555	3.735291685
556	3.732892173
557	3.731932914
558	3.730508294
559	3.728833527
560	3.727616993
561	3.724432189
562	3.7223799
563	3.718897257
564	3.717312451
565	3.714944981
566	3.711094942
567	3.707060117
568	3.704665542
569	3.703733257
570	3.702291144
571	3.701766767
572	3.697750439
573	3.692629485
574	3.689357347
575	3.684463861
576	3.683919587
577	3.682300133
578	3.681306681
579	3.679162701
580	3.675552311
581	3.672593509
582	3.672360726
583	3.671363322
584	3.671030128
585	3.670411898
586	3.668474223
587	3.66790084
588	3.665196104
589	3.663589048
590	3.663406551
591	3.660671568
592	3.659131381
593	3.657688389
594	3.654170562
595	3.653305374
596	3.649501814
597	3.647508458
598	3.646543564
599	3.644468032
600	3.64304542
601	3.641037981
602	3.6378612
603	3.635905084
604	3.632534881
605	3.628286239
606	3.626565647
607	3.625665776
608	3.624725183
609	3.621352513
610	3.619760503
611	3.616950899
612	3.615418939
613	3.613093988
614	3.610326343
615	3.607465558
616	3.606769094
617	3.604027941
618	3.602820816
619	3.601146138
620	3.597667423
621	3.595829397
622	3.592185058
623	3.590534912
624	3.589902756
625	3.589499112
626	3.587309074
627	3.586874947
628	3.585191471
629	3.58432202
630	3.581363489
631	3.580064873
632	3.576418581
633	3.57502894
634	3.57413332
635	3.57362783
636	3.570496761
637	3.567887781
638	3.564851294
639	3.562438159
640	3.559878916
641	3.558326786
642	3.555300451
643	3.553092599
644	3.551548414
645	3.549806993
646	3.547823236
647	3.547156856
648	3.546045916
649	3.543717543
650	3.541158953
651	3.5404206
652	3.538056818
653	3.537478573
654	3.535843963
655	3.534160754
656	3.532391006
657	3.529663242
658	3.528629754
659	3.527763114
660	3.523440863
661	3.521692212
662	3.520837289
663	3.519526807
664	3.516818187
665	3.516361442
666	3.513353734
667	3.511117041
668	3.508754766
669	3.506685955
670	3.505660936
671	3.502095034
672	3.501287934
673	3.498826628
674	3.498281286
675	3.495255765
676	3.493058093
677	3.491431469
678	3.490549652
679	3.48969794
680	3.486339277
681	3.484431149
682	3.483321687
683	3.479437754
684	3.478066521
685	3.47681303
686	3.475643368
687	3.473614464
688	3.471384971
689	3.469300251
690	3.466505663
691	3.464930936
692	3.463795069
693	3.459557938
694	3.457454321
695	3.456694091
696	3.455192002
697	3.453549034
698	3.452805985
699	3.450055568
700	3.448016553
701	3.445943413
702	3.445144424
703	3.443042949
704	3.441904325
705	3.438482051
706	3.436543219
707	3.434442032
708	3.43296439
709	3.432412967
710	3.430728004
711	3.429024113
712	3.428310728
713	3.425233745
714	3.423284523
715	3.422132237
716	3.419123347
717	3.416591147
718	3.414012474
719	3.410916997
720	3.408934728
721	3.406441193
722	3.404068979
723	3.402146233
724	3.399840526
725	3.398669128
726	3.397357914
727	3.396501446
728	3.39479046
729	3.391265178
730	3.387336747
731	3.385233866
732	3.383736983
733	3.3802625
734	3.379780191
735	3.377556443
736	3.376189703
737	3.374425071
738	3.372375797
739	3.370286559
740	3.367291519
741	3.365863908
742	3.362458053
743	3.35964705
744	3.35712418
745	3.356624915
746	3.355543825
747	3.352843553
748	3.350667054
749	3.349185156
750	3.346238171
751	3.343414367
752	3.342712884
753	3.34154057
754	3.339146406
755	3.338347957
756	3.337686305
757	3.33615408
758	3.335016575
759	3.334030228
760	3.330890123
761	3.329879265
762	3.329456446
763	3.329049616
764	3.326517644
765	3.324725053
766	3.320909754
767	3.32055837
768	3.318512315
769	3.316540569
770	3.314070397
771	3.311765469
772	3.308901754
773	3.305418499
774	3.302416163
775	3.300180973
776	3.299837149
777	3.296743855
778	3.295551141
779	3.294858738
780	3.294272235
781	3.2931692
782	3.291478679
783	3.290840008
784	3.289686446
785	3.288167014
786	3.285801752
787	3.284002106
788	3.282248149
789	3.280042315
790	3.278360708
791	3.276025974
792	3.273988829
793	3.271766542
794	3.270465525
795	3.267444055
796	3.266399634
797	3.264803768
798	3.26334392
799	3.262170608
800	3.259873062
801	3.259366333
802	3.256806383
803	3.256650554
804	3.25602888
805	3.254770211
806	3.253022162
807	3.249582148
808	3.249108031
809	3.248855702
810	3.247505228
811	3.245582649
812	3.242940893
813	3.242377365
814	3.241995931
815	3.240646294
816	3.237836967
817	3.237458342
818	3.23619697
819	3.235010079
820	3.23410911
821	3.233664657
822	3.233159255
823	3.23291781
824	3.232100477
825	3.229863388
826	3.228144236
827	3.22618706
828	3.225574432
829	3.224226733
830	3.221951407
831	3.221259518
832	3.218521433
833	3.21572872
834	3.212023756
835	3.208526027
836	3.207414387
837	3.205788629
838	3.204594032
839	3.203383646
840	3.201619005
841	3.198657106
842	3.197494531
843	3.197089474
844	3.194720866
845	3.19234535
846	3.192202543
847	3.190249723
848	3.189255529
849	3.187446234
850	3.18715315
851	3.185843536
852	3.184173912
853	3.181598548
854	3.179647423
855	3.176539333
856	3.175072704
857	3.174790111
858	3.173422944
859	3.172091504
860	3.171214259
861	3.168479336
862	3.166021881
863	3.165640412
864	3.165079575
865	3.164093375
866	3.16354616
867	3.162244328
868	3.160942227
869	3.158743735
870	3.157878393
871	3.156800231
872	3.154890008
873	3.15204353
874	3.150442142
875	3.148862812
876	3.146897874
877	3.145528384
878	3.144255517
879	3.141822397
880	3.140542718
881	3.139476612
882	3.137559679
883	3.136720839
884	3.134915416
885	3.133583901
886	3.13191629
887	3.130310432
888	3.129347155
889	3.127536954
890	3.127241351
891	3.125757528
892	3.123725781
893	3.122106866
894	3.121033355
895	3.118382806
896	3.117839439
897	3.117487208
898	3.116678924
899	3.116537714
900	3.115717907
901	3.113983373
902	3.110669397
903	3.109959191
904	3.108658807
905	3.108171669
906	3.10598098
907	3.10505712
908	3.102452534
909	3.100794499
910	3.09941495
911	3.096996321
912	3.096581439
913	3.094309064
914	3.093108587
915	3.090486975
916	3.088997841
917	3.086979308
918	3.086230764
919	3.084241656
920	3.082945302
921	3.082741262
922	3.079531719
923	3.078618241
924	3.075917406
925	3.075231811
926	3.074421022
927	3.074183331
928	3.072321789
929	3.071068268
930	3.069343457
931	3.066772915
932	3.064459575
933	3.062805013
934	3.062047301
935	3.060954611
936	3.060081283
937	3.0597868
938	3.058710045
939	3.058664671
940	3.057224235
941	3.054675322
942	3.052792905
943	3.051581484
944	3.049480067
945	3.047716873
946	3.045958712
947	3.045064537
948	3.043857342
949	3.0411782
950	3.039489009
951	3.037471824
952	3.03643485
953	3.035461939
954	3.034167206
955	3.032571315
956	3.029572598
957	3.027393308
958	3.026978091
959	3.026816876
960	3.02454734
961	3.021620292
962	3.020713753
963	3.0179704
964	3.017202909
965	3.016783059
966	3.015443898
967	3.013567426
968	3.012217748
969	3.010862624
970	3.009924165
971	3.007805099
972	3.006165872
973	3.005244628
974	3.005024984
975	3.003796601
976	3.002978915
977	3.002418098
978	3.001899255
979	2.999516239
980	2.999016543
981	2.99670704
982	2.995400318
983	2.994744034
984	2.992144528
985	2.989295334
986	2.987295413
987	2.984877167
988	2.981656306
989	2.97941189
990	2.977125658
991	2.975396181
992	2.973585853
993	2.971445608
994	2.971199703
995	2.969956833
996	2.967943865
997	2.965341896
998	2.964314304
999	2.963713941
